Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
35,Travel_Frequently,489,Sales,24,2,Human Resources,1,347,1,Female,33,2,2,Sales Representative,1,Married,6034,6016,6,Y,No,21,3,3,80,1,19,5,2,5,3,0,0,Yes
35,Travel_Frequently,1436,Human Resources,6,5,Marketing,1,348,4,Male,81,1,4,Laboratory Technician,2,Married,4378,24763,4,Y,No,16,4,3,80,0,18,0,2,10,1,0,1,Yes
47,Travel_Frequently,485,Research & Development,3,4,Other,1,349,1,Female,80,1,4,Manager,3,Divorced,6817,12550,6,Y,Yes,19,3,1,80,1,9,0,4,1,1,0,1,Yes
19,Travel_Frequently,157,Research & Development,10,4,Life Sciences,1,350,2,Male,85,3,1,Sales Representative,2,Divorced,3522,17332,6,Y,Yes,25,3,1,80,2,6,1,1,2,1,2,1,Yes
60,Non-Travel,1477,Human Resources,26,2,Technical Degree,1,351,1,Male,81,2,4,Sales Executive,2,Married,7624,9866,1,Y,No,21,4,4,80,1,17,1,1,7,3,6,0,No
57,Non-Travel,427,Sales,19,3,Technical Degree,1,352,4,Male,55,3,3,Sales Representative,4,Divorced,4345,26497,9,Y,No,23,4,1,80,0,22,2,1,8,2,2,0,Yes
40,Non-Travel,1064,Human Resources,17,2,Technical Degree,1,353,1,Female,51,3,5,Laboratory Technician,4,Single,2758,12912,6,Y,No,11,3,2,80,1,6,4,2,2,2,2,2,No
50,Non-Travel,1492,Research & Development,6,2,Human Resources,1,354,2,Female,47,3,1,Sales Representative,4,Divorced,3984,15275,9,Y,Yes,11,4,2,80,1,8,5,2,3,2,1,2,No
29,Non-Travel,700,Research & Development,13,5,Other,1,355,1,Male,39,1,3,Human Resources,1,Single,6986,2078,3,Y,Yes,12,3,1,80,1,2,2,2,1,1,1,1,Yes
59,Non-Travel,422,Research & Development,18,1,Human Resources,1,356,4,Male,34,3,3,Laboratory Technician,1,Divorced,14435,8749,3,Y,No,15,3,3,80,3,17,6,1,17,3,4,0,No
19,Travel_Rarely,1297,Research & Development,29,3,Life Sciences,1,357,4,Male,44,4,2,Sales Representative,1,Married,4749,26874,9,Y,Yes,11,3,2,80,3,11,6,2,1,1,1,1,Yes
43,Non-Travel,1427,Human Resources,1,5,Other,1,358,3,Male,47,1,5,Human Resources,1,Married,4126,19812,9,Y,No,21,4,4,80,3,24,4,1,16,3,4,0,No
20,Travel_Rarely,168,Human Resources,9,5,Marketing,1,359,3,Male,98,3,3,Human Resources,1,Married,6279,7057,7,Y,Yes,25,3,3,80,1,14,5,1,1,1,1,1,Yes
28,Non-Travel,638,Sales,3,2,Medical,1,360,3,Female,50,2,5,Research Scientist,4,Married,6462,2940,4,Y,No,23,4,3,80,0,9,5,4,1,1,1,1,No
49,Travel_Frequently,112,Sales,19,4,Marketing,1,361,4,Female,54,1,3,Human Resources,3,Single,3554,8475,4,Y,No,12,4,1,80,2,11,5,3,7,2,1,7,No
22,Travel_Rarely,315,Research & Development,18,4,Marketing,1,362,4,Male,45,2,4,Manager,4,Divorced,2888,25244,9,Y,Yes,17,3,2,80,3,10,5,4,3,3,0,1,Yes
57,Non-Travel,903,Research & Development,17,5,Medical,1,363,2,Male,70,2,2,Research Scientist,1,Divorced,3761,22625,6,Y,Yes,14,3,1,80,3,5,6,4,4,1,1,0,Yes
46,Travel_Frequently,1276,Research & Development,21,1,Technical Degree,1,364,3,Male,86,3,1,Human Resources,2,Married,5695,6700,3,Y,Yes,24,3,1,80,2,6,4,2,6,1,1,5,Yes
56,Travel_Frequently,830,Human Resources,6,3,Life Sciences,1,365,4,Male,63,4,1,Sales Representative,4,Married,14315,22823,4,Y,No,21,3,4,80,1,13,4,1,11,3,1,0,No
24,Travel_Rarely,623,Human Resources,3,1,Marketing,1,366,1,Male,79,3,4,Manufacturing Director,4,Divorced,9500,12000,8,Y,Yes,16,3,4,80,0,9,1,1,2,2,2,0,No
20,Travel_Frequently,325,Human Resources,15,5,Marketing,1,367,2,Male,43,2,2,Laboratory Technician,3,Married,1959,18343,9,Y,Yes,11,4,4,80,1,18,4,3,6,6,6,1,Yes
49,Non-Travel,236,Research & Development,28,3,Marketing,1,368,4,Female,49,2,2,Human Resources,2,Divorced,4693,7021,4,Y,No,22,3,3,80,2,5,2,3,1,1,1,1,No
47,Travel_Frequently,640,Research & Development,18,3,Human Resources,1,369,2,Male,31,4,4,Manager,4,Divorced,3277,26789,1,Y,No,16,3,2,80,2,16,2,4,2,1,0,0,No
46,Non-Travel,661,Human Resources,14,2,Medical,1,370,3,Female,38,3,3,Research Scientist,3,Single,3895,13723,2,Y,Yes,15,4,3,80,2,14,0,1,1,1,1,1,Yes
39,Non-Travel,1383,Sales,28,1,Medical,1,371,1,Female,64,1,5,Manager,2,Married,7392,15969,0,Y,Yes,18,3,1,80,3,5,0,3,1,1,0,1,Yes
31,Travel_Frequently,869,Research & Development,15,5,Other,1,372,1,Male,36,2,4,Laboratory Technician,2,Divorced,4883,8571,0,Y,Yes,24,3,4,80,1,16,2,2,4,1,0,0,Yes
55,Travel_Frequently,1486,Sales,28,4,Technical Degree,1,373,3,Male,52,1,2,Laboratory Technician,3,Married,3209,9637,9,Y,Yes,13,4,1,80,1,10,3,3,2,2,0,1,No
41,Non-Travel,199,Sales,5,1,Human Resources,1,374,1,Female,59,4,2,Sales Representative,1,Married,6233,9460,1,Y,No,17,4,3,80,1,9,6,4,5,5,0,0,No
55,Travel_Rarely,466,Research & Development,10,2,Life Sciences,1,375,4,Male,40,4,3,Research Director,3,Single,9566,3724,6,Y,No,24,3,2,80,2,24,1,1,10,2,2,2,Yes
59,Travel_Frequently,1162,Sales,23,3,Medical,1,376,4,Female,92,4,3,Human Resources,3,Divorced,1938,26859,4,Y,No,21,3,4,80,1,9,2,2,1,1,1,0,No
35,Travel_Frequently,1344,Sales,27,2,Human Resources,1,377,1,Female,31,1,1,Research Scientist,2,Divorced,4922,2737,6,Y,Yes,18,4,2,80,3,23,0,3,16,1,3,2,No
36,Travel_Rarely,388,Research & Development,8,5,Technical Degree,1,378,1,Male,37,1,2,Human Resources,2,Divorced,9090,22616,7,Y,Yes,17,3,2,80,2,6,6,1,3,1,3,3,Yes
20,Travel_Frequently,1131,Sales,7,3,Marketing,1,379,3,Male,78,2,5,Research Director,3,Married,3540,10539,7,Y,Yes,12,4,3,80,0,16,0,3,6,1,1,3,No
46,Non-Travel,1328,Sales,21,2,Human Resources,1,380,1,Female,98,2,3,Manufacturing Director,1,Divorced,4368,18448,3,Y,No,19,3,1,80,0,14,0,3,2,2,2,2,Yes
42,Travel_Rarely,923,Sales,8,1,Life Sciences,1,381,4,Female,33,1,4,Manufacturing Director,4,Divorced,5746,13042,3,Y,No,25,3,3,80,3,9,3,4,3,1,3,1,No
50,Non-Travel,495,Sales,7,3,Marketing,1,382,3,Female,91,4,2,Manager,4,Divorced,11982,14641,6,Y,No,17,4,1,80,3,8,3,1,2,2,1,2,No
45,Travel_Rarely,1263,Human Resources,5,1,Technical Degree,1,383,3,Male,43,3,1,Research Scientist,1,Married,6377,3014,4,Y,Yes,23,4,4,80,1,12,2,2,3,1,1,2,No
42,Travel_Rarely,521,Sales,3,5,Other,1,384,3,Female,66,3,2,Manufacturing Director,2,Single,8895,2391,0,Y,No,14,3,1,80,1,11,0,2,5,5,1,2,No
44,Non-Travel,353,Human Resources,29,2,Technical Degree,1,385,4,Female,45,1,3,Healthcare Representative,4,Married,3525,13767,7,Y,Yes,16,4,1,80,0,18,3,2,8,3,0,0,No
34,Non-Travel,1226,Sales,18,2,Other,1,386,4,Female,72,4,3,Sales Representative,2,Divorced,1894,10183,5,Y,No,19,4,2,80,3,12,0,4,1,1,1,0,Yes
48,Non-Travel,1437,Research & Development,27,5,Life Sciences,1,387,4,Male,83,2,3,Manager,4,Divorced,10634,4738,6,Y,No,15,3,2,80,2,12,5,4,4,2,1,1,No
51,Travel_Rarely,417,Human Resources,23,1,Human Resources,1,388,1,Female,32,3,4,Manager,2,Single,5129,9280,0,Y,No,21,3,3,80,3,6,1,1,1,1,1,0,No
53,Travel_Frequently,801,Research & Development,15,2,Marketing,1,389,4,Female,46,4,4,Healthcare Representative,1,Divorced,3148,6647,2,Y,Yes,13,3,1,80,2,11,2,3,3,3,0,2,No
35,Non-Travel,495,Research & Development,13,2,Life Sciences,1,390,3,Male,84,1,1,Manager,4,Single,7041,18676,3,Y,No,18,3,3,80,2,3,1,1,3,3,3,2,Yes
24,Travel_Frequently,1343,Sales,25,5,Life Sciences,1,391,3,Female,68,4,1,Research Director,4,Single,4286,7409,6,Y,Yes,21,4,4,80,1,4,4,3,1,1,1,1,No
28,Travel_Frequently,805,Research & Development,29,5,Life Sciences,1,392,1,Female,50,4,4,Laboratory Technician,3,Married,4879,7062,5,Y,Yes,18,4,1,80,1,18,0,2,6,2,0,1,Yes
43,Travel_Rarely,423,Human Resources,26,1,Technical Degree,1,393,1,Female,66,1,4,Laboratory Technician,2,Divorced,4618,15464,0,Y,Yes,25,3,3,80,1,11,1,2,5,5,1,1,Yes
30,Travel_Rarely,565,Sales,9,3,Medical,1,394,1,Female,84,2,5,Research Scientist,4,Single,4421,25524,9,Y,Yes,15,3,2,80,0,5,0,2,3,1,1,0,No
53,Travel_Rarely,567,Human Resources,1,4,Life Sciences,1,395,1,Female,50,2,4,Research Director,1,Single,4713,3755,7,Y,No,18,3,1,80,2,14,0,2,5,1,2,0,No
35,Travel_Rarely,1412,Research & Development,5,2,Technical Degree,1,396,1,Male,56,1,3,Research Scientist,3,Divorced,5088,23182,0,Y,Yes,18,3,1,80,0,15,6,4,3,1,0,2,Yes
51,Travel_Rarely,348,Research & Development,13,5,Technical Degree,1,397,2,Male,94,2,2,Healthcare Representative,2,Divorced,7059,23352,7,Y,Yes,19,4,3,80,1,11,2,4,2,2,0,1,Yes
52,Non-Travel,815,Human Resources,6,3,Other,1,398,4,Male,71,2,3,Sales Executive,4,Married,5067,3587,0,Y,No,23,3,1,80,1,7,0,4,4,4,1,0,No
27,Travel_Frequently,1179,Human Resources,11,5,Human Resources,1,399,4,Female,39,2,1,Laboratory Technician,2,Single,10837,13249,6,Y,Yes,25,3,2,80,3,9,0,4,7,2,1,2,No
60,Non-Travel,232,Sales,11,1,Other,1,400,2,Female,30,3,2,Research Scientist,1,Married,4209,26124,6,Y,No,15,4,3,80,3,11,5,4,2,1,0,0,Yes
50,Travel_Frequently,1331,Sales,24,5,Other,1,401,4,Male,83,2,2,Manufacturing Director,4,Single,7611,18805,0,Y,No,11,3,3,80,2,7,2,1,1,1,1,0,No
56,Non-Travel,1261,Human Resources,27,2,Marketing,1,402,2,Male,76,2,2,Sales Executive,4,Divorced,5834,24553,2,Y,Yes,11,4,2,80,1,4,1,1,2,2,1,2,No
44,Travel_Rarely,1078,Research & Development,4,4,Technical Degree,1,403,4,Female,74,4,1,Sales Executive,1,Single,4054,4047,5,Y,Yes,12,4,2,80,2,11,6,1,7,6,0,3,Yes
24,Non-Travel,586,Human Resources,19,5,Life Sciences,1,404,1,Female,93,2,5,Research Scientist,1,Married,1931,17008,1,Y,Yes,24,4,4,80,1,5,2,1,3,2,1,0,Yes
54,Travel_Frequently,1299,Human Resources,1,2,Human Resources,1,405,3,Male,57,3,1,Sales Representative,3,Married,6817,26188,9,Y,Yes,11,3,1,80,0,2,3,3,1,1,1,1,Yes
58,Travel_Frequently,1194,Sales,24,4,Medical,1,406,1,Male,35,3,2,Sales Executive,3,Single,5149,15320,0,Y,No,11,3,4,80,1,7,4,3,1,1,1,1,No
31,Travel_Frequently,1151,Human Resources,4,4,Technical Degree,1,407,4,Female,80,4,2,Human Resources,1,Single,16342,7660,1,Y,Yes,20,3,3,80,1,6,0,3,2,1,1,2,Yes
37,Non-Travel,209,Research & Development,16,1,Medical,1,408,2,Male,90,2,4,Research Scientist,1,Divorced,6113,15824,4,Y,No,25,3,4,80,2,20,6,4,9,6,0,0,Yes
51,Travel_Frequently,556,Human Resources,10,5,Other,1,409,1,Female,88,2,5,Research Scientist,2,Divorced,4468,9709,0,Y,Yes,21,4,4,80,0,17,1,1,3,3,0,2,Yes
42,Travel_Rarely,901,Sales,11,2,Technical Degree,1,410,2,Male,51,2,2,Sales Representative,2,Married,2324,18733,1,Y,Yes,20,4,1,80,0,15,1,1,4,4,0,1,Yes
27,Non-Travel,949,Human Resources,25,2,Life Sciences,1,411,2,Male,55,2,1,Laboratory Technician,2,Married,9657,23618,9,Y,No,17,4,1,80,0,5,5,2,1,1,1,1,Yes
56,Travel_Rarely,576,Human Resources,11,1,Marketing,1,412,4,Male,55,4,1,Healthcare Representative,3,Divorced,2307,24686,9,Y,No,20,3,4,80,2,10,6,1,10,4,0,1,No
26,Travel_Frequently,581,Sales,8,3,Technical Degree,1,413,1,Female,95,2,2,Sales Executive,4,Divorced,4924,24948,8,Y,Yes,11,3,2,80,2,6,3,3,1,1,1,0,Yes
31,Travel_Frequently,549,Human Resources,11,5,Technical Degree,1,414,1,Female,96,1,2,Research Scientist,4,Single,6609,19677,1,Y,No,11,3,4,80,1,3,1,4,1,1,1,1,No
36,Travel_Rarely,327,Sales,17,3,Marketing,1,415,1,Male,91,2,5,Manager,4,Divorced,5860,9844,3,Y,Yes,13,4,3,80,1,11,2,4,6,3,0,6,Yes
57,Travel_Rarely,312,Human Resources,20,4,Life Sciences,1,416,4,Male,97,3,5,Sales Executive,1,Single,8022,5144,3,Y,No,22,3,1,80,3,11,1,2,1,1,1,1,Yes
36,Travel_Rarely,1081,Sales,13,2,Human Resources,1,417,1,Female,43,1,4,Laboratory Technician,3,Single,4725,4399,0,Y,No,11,4,2,80,2,2,6,4,1,1,1,0,Yes
60,Travel_Frequently,695,Human Resources,16,3,Life Sciences,1,418,1,Female,78,3,3,Manager,1,Single,3558,25797,0,Y,Yes,24,3,4,80,2,14,1,3,3,1,1,3,Yes
47,Travel_Frequently,163,Human Resources,6,1,Life Sciences,1,419,2,Female,73,3,5,Sales Executive,3,Married,9932,3725,8,Y,No,14,3,3,80,1,16,5,4,3,1,2,1,No
26,Travel_Rarely,160,Human Resources,25,5,Marketing,1,420,4,Male,90,3,1,Research Director,2,Married,2685,23605,5,Y,No,24,4,2,80,2,14,0,2,8,1,4,1,No
18,Travel_Frequently,210,Sales,5,4,Human Resources,1,421,2,Female,49,1,3,Research Director,1,Single,6325,24649,8,Y,Yes,17,3,2,80,2,4,6,3,2,1,2,0,Yes
45,Travel_Rarely,1314,Research & Development,19,1,Human Resources,1,422,1,Female,69,3,5,Sales Executive,3,Divorced,6722,17659,3,Y,Yes,11,4,3,80,3,1,0,2,1,1,0,1,No
28,Non-Travel,636,Sales,12,5,Other,1,423,1,Female,40,4,1,Sales Representative,2,Single,3808,8449,8,Y,Yes,13,4,4,80,0,6,5,1,3,2,0,1,Yes
22,Travel_Frequently,620,Sales,22,2,Life Sciences,1,424,4,Male,62,2,1,Sales Representative,2,Divorced,7078,20105,8,Y,No,25,3,3,80,3,9,5,1,3,3,0,2,Yes
36,Travel_Frequently,1087,Sales,23,4,Other,1,425,2,Female,92,1,2,Human Resources,1,Married,2449,3344,3,Y,Yes,25,3,1,80,1,18,0,3,11,2,0,4,Yes
32,Non-Travel,763,Human Resources,13,3,Technical Degree,1,426,3,Male,44,2,1,Laboratory Technician,3,Divorced,3632,5003,8,Y,Yes,14,4,1,80,0,5,6,4,3,1,0,1,No
46,Travel_Frequently,352,Sales,7,4,Marketing,1,427,2,Female,66,3,3,Manufacturing Director,2,Married,2388,6394,4,Y,No,14,4,4,80,3,10,3,3,1,1,0,1,Yes
45,Travel_Rarely,541,Research & Development,26,1,Medical,1,428,4,Male,51,1,1,Manufacturing Director,2,Divorced,6928,7105,1,Y,Yes,17,3,2,80,3,8,5,2,1,1,0,1,Yes
59,Travel_Frequently,1286,Sales,15,5,Marketing,1,429,1,Female,61,4,3,Research Director,1,Single,6875,6507,4,Y,No,16,3,4,80,2,4,5,3,3,2,1,1,No
26,Travel_Frequently,1333,Sales,28,5,Technical Degree,1,430,3,Female,80,1,3,Research Director,1,Single,8860,5770,5,Y,Yes,24,4,2,80,3,13,4,1,4,3,3,1,Yes
38,Non-Travel,181,Human Resources,12,4,Other,1,431,2,Male,58,1,4,Healthcare Representative,4,Single,4042,21436,3,Y,No,20,3,3,80,2,10,6,2,3,3,0,2,Yes
43,Travel_Frequently,356,Human Resources,29,3,Technical Degree,1,432,3,Male,97,1,5,Manufacturing Director,3,Divorced,5547,26846,7,Y,No,16,3,3,80,3,11,6,2,10,1,4,0,Yes
58,Travel_Frequently,842,Sales,24,2,Technical Degree,1,433,1,Male,52,4,5,Sales Executive,4,Single,4711,12245,5,Y,No,19,4,3,80,2,6,4,1,3,3,0,0,Yes
32,Travel_Rarely,1465,Sales,28,5,Life Sciences,1,434,1,Male,33,1,2,Research Scientist,3,Single,1922,12447,0,Y,Yes,23,4,2,80,0,14,2,3,2,1,0,0,No
31,Non-Travel,1479,Research & Development,18,3,Human Resources,1,435,1,Female,68,3,2,Research Scientist,1,Single,3338,24391,3,Y,Yes,23,3,1,80,2,13,1,2,7,5,4,1,No
34,Travel_Rarely,240,Sales,9,3,Life Sciences,1,436,3,Female,99,1,5,Research Director,2,Single,12700,15269,4,Y,Yes,25,3,2,80,3,5,5,4,1,1,0,1,No
53,Non-Travel,137,Sales,25,2,Technical Degree,1,437,1,Female,88,4,1,Laboratory Technician,1,Married,3280,3832,8,Y,Yes,11,3,3,80,3,6,0,4,6,6,2,0,Yes
42,Travel_Frequently,845,Research & Development,3,1,Medical,1,438,3,Male,89,3,5,Laboratory Technician,2,Married,12642,23505,8,Y,No,18,3,4,80,1,10,3,1,1,1,1,0,Yes
37,Non-Travel,145,Sales,10,1,Human Resources,1,439,4,Male,40,3,4,Sales Executive,2,Divorced,7592,10983,5,Y,No,24,3,1,80,3,7,0,2,3,2,0,2,No
45,Travel_Rarely,313,Human Resources,10,5,Life Sciences,1,440,2,Female,60,3,4,Research Director,2,Married,2996,13678,8,Y,Yes,21,4,3,80,0,15,4,2,5,1,5,4,Yes
21,Travel_Rarely,482,Human Resources,17,5,Other,1,441,3,Male,59,3,1,Human Resources,2,Married,7514,25957,4,Y,No,21,3,3,80,0,7,5,1,4,4,0,0,Yes
38,Non-Travel,180,Research & Development,13,2,Human Resources,1,442,2,Female,87,3,4,Manager,1,Married,2598,5499,3,Y,No,21,4,2,80,0,10,5,1,1,1,1,1,Yes
33,Travel_Rarely,1328,Research & Development,25,1,Marketing,1,443,3,Male,96,2,4,Manufacturing Director,1,Married,5687,19682,6,Y,No,19,3,1,80,1,14,5,2,5,1,3,2,No
28,Travel_Rarely,865,Sales,7,5,Medical,1,444,4,Male,76,2,4,Laboratory Technician,1,Married,6879,4666,2,Y,Yes,11,3,2,80,1,12,2,1,2,2,0,2,No
29,Travel_Frequently,925,Sales,24,1,Medical,1,445,1,Male,68,2,4,Sales Representative,3,Single,1896,18940,0,Y,No,15,3,1,80,3,5,1,3,2,1,0,0,No
49,Non-Travel,1191,Human Resources,26,4,Life Sciences,1,446,1,Female,80,1,4,Manager,3,Divorced,10119,17120,2,Y,Yes,20,3,4,80,2,10,1,1,6,1,1,0,Yes
48,Non-Travel,1223,Sales,29,5,Marketing,1,447,2,Male,33,1,2,Research Director,3,Married,5946,20848,5,Y,Yes,13,4,1,80,2,11,3,1,3,3,3,0,Yes
43,Travel_Rarely,1390,Sales,9,5,Human Resources,1,448,3,Female,89,3,1,Manufacturing Director,4,Single,5863,13324,5,Y,No,13,3,2,80,1,10,0,1,3,1,0,3,No
50,Travel_Frequently,896,Sales,5,1,Other,1,449,4,Male,75,1,5,Laboratory Technician,4,Married,8521,18009,7,Y,Yes,20,3,3,80,0,5,2,3,5,2,0,0,Yes
45,Travel_Rarely,836,Human Resources,2,1,Human Resources,1,450,4,Female,98,4,3,Laboratory Technician,1,Single,4062,26507,6,Y,No,18,4,1,80,2,13,5,4,1,1,1,0,No
24,Non-Travel,1029,Human Resources,5,1,Life Sciences,1,451,1,Female,98,2,2,Sales Representative,2,Married,8568,26345,0,Y,No,14,3,1,80,0,16,3,4,13,2,10,0,Yes
43,Non-Travel,1165,Sales,12,1,Technical Degree,1,452,2,Female,32,4,3,Sales Representative,2,Single,4941,15960,9,Y,No,13,3,2,80,0,7,2,2,4,4,1,2,Yes
30,Travel_Frequently,302,Human Resources,1,5,Marketing,1,453,3,Female,71,1,1,Laboratory Technician,1,Single,2167,8616,0,Y,Yes,12,3,2,80,3,7,1,1,2,2,0,0,Yes
42,Non-Travel,186,Human Resources,19,2,Life Sciences,1,454,2,Male,85,4,1,Sales Representative,3,Divorced,3787,2632,0,Y,No,21,4,4,80,1,4,1,4,2,2,2,2,No
49,Non-Travel,265,Human Resources,28,2,Human Resources,1,455,3,Male,85,2,1,Manufacturing Director,2,Married,2535,22047,3,Y,Yes,21,4,1,80,2,9,2,4,2,1,2,1,Yes
39,Travel_Frequently,1039,Sales,25,5,Marketing,1,456,4,Male,47,1,3,Manufacturing Director,1,Divorced,3040,15824,5,Y,Yes,19,4,3,80,3,1,1,1,1,1,0,1,No
25,Travel_Frequently,722,Human Resources,18,5,Life Sciences,1,457,1,Female,45,3,1,Manager,3,Single,7858,14109,4,Y,Yes,25,3,4,80,1,1,5,3,1,1,0,1,Yes
29,Travel_Rarely,1392,Research & Development,8,5,Other,1,458,4,Male,70,3,3,Healthcare Representative,1,Single,2666,21669,1,Y,No,18,4,1,80,0,14,1,2,6,6,0,2,Yes
34,Travel_Frequently,336,Research & Development,29,3,Technical Degree,1,459,2,Female,39,1,5,Laboratory Technician,4,Married,8135,23032,1,Y,No,17,4,1,80,1,14,0,3,8,5,0,1,Yes
19,Travel_Rarely,441,Research & Development,11,5,Technical Degree,1,460,4,Male,88,1,1,Manufacturing Director,4,Single,5093,8403,4,Y,No,23,4,1,80,2,17,5,3,7,1,2,5,Yes
22,Travel_Rarely,365,Research & Development,16,5,Marketing,1,461,3,Male,61,1,3,Research Scientist,2,Married,1602,7539,9,Y,Yes,20,3,1,80,0,3,4,1,2,2,0,2,Yes
24,Travel_Frequently,641,Human Resources,7,2,Human Resources,1,462,3,Female,72,1,4,Research Scientist,2,Divorced,4928,20215,0,Y,Yes,23,3,4,80,0,6,6,3,4,2,4,2,Yes
50,Non-Travel,1200,Human Resources,1,5,Technical Degree,1,463,1,Male,43,4,4,Laboratory Technician,3,Single,3238,24515,2,Y,Yes,25,4,2,80,2,8,6,3,5,1,0,1,Yes
27,Non-Travel,1193,Sales,26,2,Human Resources,1,464,1,Female,90,1,3,Sales Representative,2,Divorced,11713,15435,2,Y,No,11,4,2,80,3,11,5,4,1,1,1,1,Yes
60,Travel_Frequently,435,Sales,6,5,Human Resources,1,465,1,Female,88,3,4,Sales Executive,4,Single,3825,7901,7,Y,Yes,22,4,4,80,1,14,6,4,13,1,9,1,Yes
19,Travel_Frequently,909,Research & Development,1,4,Other,1,466,1,Female,38,4,1,Research Scientist,3,Single,6246,12715,5,Y,Yes,11,3,1,80,1,2,5,1,1,1,1,1,Yes
33,Travel_Rarely,810,Sales,17,2,Technical Degree,1,467,4,Male,51,3,3,Healthcare Representative,1,Married,3357,26878,6,Y,No,24,4,2,80,0,10,4,4,2,2,2,0,No
27,Travel_Rarely,784,Human Resources,13,2,Other,1,468,2,Female,99,4,4,Healthcare Representative,1,Single,5459,21115,7,Y,No,17,3,2,80,1,4,4,1,2,2,2,1,No
50,Travel_Frequently,1487,Research & Development,23,1,Life Sciences,1,469,4,Female,53,1,1,Laboratory Technician,2,Married,12658,4892,4,Y,No,15,4,4,80,1,11,1,4,6,1,3,0,Yes
56,Travel_Rarely,316,Research & Development,24,5,Other,1,470,3,Male,31,1,5,Sales Executive,3,Single,3159,15418,1,Y,No,11,3,3,80,2,1,1,2,1,1,1,1,No
52,Non-Travel,1237,Research & Development,4,5,Life Sciences,1,471,3,Female,76,1,3,Manufacturing Director,1,Divorced,4315,21541,0,Y,No,24,3,2,80,2,5,1,1,2,2,0,1,No
30,Non-Travel,490,Human Resources,13,4,Medical,1,472,1,Female,71,1,4,Research Director,4,Married,2564,9634,4,Y,Yes,12,3,4,80,2,5,4,4,4,4,0,0,Yes
48,Non-Travel,935,Human Resources,9,2,Human Resources,1,473,4,Male,93,3,1,Sales Executive,4,Single,2350,23392,1,Y,No,25,4,2,80,3,16,3,2,15,1,2,0,Yes
55,Travel_Rarely,1215,Sales,3,5,Medical,1,474,2,Male,64,4,3,Manufacturing Director,2,Married,8194,25406,4,Y,Yes,24,3,1,80,2,13,6,3,6,1,1,2,No
45,Non-Travel,154,Research & Development,23,5,Medical,1,475,3,Female,73,1,3,Manufacturing Director,1,Married,2340,16935,8,Y,Yes,17,4,3,80,3,5,2,4,3,1,1,2,Yes
18,Non-Travel,512,Human Resources,26,5,Marketing,1,476,3,Female,41,3,4,Sales Representative,3,Divorced,2027,25602,0,Y,No,14,3,1,80,1,13,2,1,5,2,2,0,No
31,Travel_Frequently,538,Sales,19,5,Life Sciences,1,477,1,Female,90,2,2,Human Resources,2,Single,3123,6008,0,Y,Yes,11,3,4,80,3,16,4,2,16,1,9,4,Yes
36,Travel_Rarely,765,Human Resources,15,3,Human Resources,1,478,2,Male,95,3,4,Research Scientist,3,Married,8849,18861,9,Y,No,24,4,1,80,3,8,3,3,2,2,1,2,No
22,Non-Travel,358,Research & Development,27,2,Technical Degree,1,479,3,Female,36,1,1,Sales Representative,1,Single,6782,20248,4,Y,Yes,19,3,1,80,2,6,5,3,2,1,1,2,Yes
44,Travel_Rarely,368,Sales,29,3,Technical Degree,1,480,1,Female,83,4,5,Sales Representative,3,Divorced,5307,9637,4,Y,Yes,22,3,2,80,1,10,0,2,1,1,0,0,Yes
21,Travel_Frequently,320,Research & Development,17,2,Life Sciences,1,481,4,Female,52,4,4,Healthcare Representative,4,Married,8231,14563,1,Y,No,18,3,2,80,0,16,5,4,6,1,3,1,No
25,Travel_Rarely,591,Research & Development,21,2,Medical,1,482,2,Female,52,3,4,Research Scientist,2,Divorced,2917,24556,8,Y,No,14,3,2,80,1,12,4,4,3,2,0,2,No
23,Non-Travel,1058,Research & Development,21,3,Technical Degree,1,483,2,Male,39,3,4,Healthcare Representative,3,Single,5300,26208,0,Y,No,20,3,2,80,2,10,2,4,2,2,2,2,Yes
48,Non-Travel,860,Research & Development,19,1,Marketing,1,484,1,Male,61,3,4,Research Director,3,Divorced,3639,14108,0,Y,Yes,13,4,1,80,0,11,5,4,1,1,1,0,Yes
21,Travel_Frequently,1198,Human Resources,2,1,Medical,1,485,2,Male,95,1,1,Human Resources,2,Single,1739,5937,9,Y,Yes,25,3,1,80,0,4,6,3,3,2,0,0,No
53,Travel_Rarely,196,Sales,23,2,Life Sciences,1,486,4,Female,97,2,5,Sales Executive,4,Single,4369,18243,5,Y,No,20,3,4,80,0,11,2,4,9,2,1,4,No
18,Travel_Frequently,935,Research & Development,28,2,Human Resources,1,487,3,Female,86,2,4,Manager,2,Divorced,7112,15145,4,Y,Yes,12,3,4,80,1,16,2,2,6,1,2,1,Yes
36,Travel_Frequently,508,Sales,16,2,Human Resources,1,488,3,Female,40,3,1,Manager,4,Single,3627,9960,9,Y,No,19,4,4,80,2,8,1,1,6,1,1,2,No
